ID,STUID,POINT,VALID,STUID,POINT,CROP,CLASS
1,18110402,6.97,1,,,,
2,17110403,94.7,1,,,,
3,11110023,94.7,0,17110377,8.62,1,1
4,18110402,10,1,,,,
5,18110330,13.5,0,17110335,1.35,1,1
6,12110336,10,0,17110336,10,,
7,17110377,3.21,1,,,,
8,12110383,47.51,0,17110383,4.75,,
9,14110403,10,0,17110403,10,,
10,11103991,0,0,18110399,10,,
11,18110395,9.89,1,,,,
12,17110361,4.33,1,,,,
13,18110371,4.23,1,,,,
14,18110311,4.42,1,,,,
15,18610296,7.41,0,18110296,7.41,,
16,17110298,9.75,1,,,,
17,17110298,10,1,,,,
18,17110299,6.43,1,,,,
19,18110364,9.47,0,18110369,9.47,,
20,17110313,64.97,0,17110373,6.49,,
21,18110355,6.75,1,,,,
22,18113601,0.05,0,18110360,10,,
23,18110366,9.21,0,18110356,9.21,,
24,17110184,60.01,0,17110284,6,,
25,18160274,8.43,0,18110279,8.43,,
26,81102810,98.93,0,18110281,9.89,,
27,18110264,10.93,0,18110264,10,,
28,18110265,97.93,0,18110265,9.75,,
29,18110275,97.93,0,18110275,8,,
30,18610256,10,1,,,,
31,18110257,97.58,1,,,,
32,12110261,0.08,0,17110256,10,,
33,11102460,97.08,0,18110246,9.75,,
,,,14,,,,
